player_name,season,expected_goals,actual_goals,expected_assists,actual_assists
Sergio Agüero,2014-2015,25.270159743726257,26,5.568922242149711,8
Harry Kane,2014-2015,17.15729223564267,21,3.922500966116786,4
Diego Costa,2014-2015,15.219103761017324,20,4.554670915938914,3
Charlie Austin,2014-2015,17.881850190460682,18,2.548747032880783,5
Alexis Sánchez,2014-2015,13.451749975793064,16,8.49417957291007,8
Olivier Giroud,2014-2015,8.846344472840428,14,3.8601362351328135,3
Eden Hazard,2014-2015,12.016092173755167,14,11.23889049515128,9
Saido Berahino,2014-2015,13.84175339434296,14,1.961660521104932,1
Christian Benteke,2014-2015,8.455073807388544,13,2.9213200323283672,2
David Silva,2014-2015,9.096987545490263,12,10.388413229957225,7
Wayne Rooney,2014-2015,8.902106503024697,12,3.9835622180253263,5
Graziano Pellè,2014-2015,18.616503284312785,12,4.481623747386038,2
Wilfried Bony,2014-2015,10.45473239198327,11,3.5082936231046915,3
Nacer Chadli,2014-2015,6.865526346489787,11,3.9355598660185938,5
Leonardo Ulloa,2014-2015,8.92391943745315,11,3.7919946145266294,3
Papiss Demba Cissé,2014-2015,8.957138858735561,11,0.3346783183515072,1
Mame Biram Diouf,2014-2015,11.64697848726064,11,3.4661409705877304,3
Danny Ings,2014-2015,12.289515919983389,11,4.244326277635992,4
Romelu Lukaku,2014-2015,12.43079612404108,10,2.350205834954977,5
Christian Eriksen,2014-2015,7.389632631093264,10,6.088786538690329,2
Diafra Sakho,2014-2015,9.07037549559027,10,2.615855718962848,2
Sadio Mané,2014-2015,8.553969949483871,10,3.982477756217122,3
Yaya Touré,2014-2015,7.109345279633999,10,3.2435781778767705,1
Robin van Persie,2014-2015,11.603471722453833,10,2.9860518015921116,2
Juan Mata,2014-2015,6.5977564714848995,9,4.968638537451625,4
Steven Gerrard,2014-2015,7.108814503997564,9,3.2090775687247515,1
Ki Sung-yueng,2014-2015,4.330577909946442,8,1.2641465356573462,1
Jonathan Walters,2014-2015,5.561564696952701,8,3.240074114408344,4
Peter Crouch,2014-2015,6.730623106472194,8,1.8830661876127124,2
Nikica Jelavic,2014-2015,4.8947891388088465,8,0.8632266633212566,1
Kevin Mirallas,2014-2015,4.718503348529339,7,1.5895477198064327,1
Raheem Sterling,2014-2015,8.785912293940783,7,6.0366210248321295,7
Loïc Remy,2014-2015,4.655208880081773,7,0.6052638720721006,0
Gylfi Sigurdsson,2014-2015,5.177992150187492,7,8.45131066069007,10
Bafétimbi Gomis,2014-2015,7.497833965346217,7,0.8869195282459259,0
Ayoze Pérez,2014-2015,5.746194876730442,7,2.9009934663772583,0
Charlie Adam,2014-2015,3.4077700218185782,7,2.649148855358362,1
Glenn Murray,2014-2015,9.534016601741314,7,1.5268458230420947,3
Santiago Cazorla,2014-2015,10.590722324326634,7,9.755179909989238,11
Aaron Ramsey,2014-2015,6.636925790458918,6,5.299688201397657,6
Jason Puncheon,2014-2015,2.7942801611498,6,5.30593179538846,7
Ander Herrera,2014-2015,2.0372265269979835,6,2.1199880270287395,4
Jordan Henderson,2014-2015,4.294427355751395,6,6.793562995269895,9
Marouane Fellaini,2014-2015,5.314917840063572,6,1.1519180983304975,0
Oscar,2014-2015,6.5403791926801205,6,5.224342029541731,8
Leroy Fer,2014-2015,5.116700017824769,6,3.586207873187959,2
Steven Naismith,2014-2015,3.948357157409191,6,1.9437066242098808,0
Gabriel Agbonlahor,2014-2015,5.630619659088552,6,1.5529494481161237,1
Stewart Downing,2014-2015,4.136291523464024,6,6.626502505969256,8
Frank Lampard,2014-2015,4.004464738070965,6,0.9529220014810562,1
Adam Lallana,2014-2015,4.768366973847151,5,3.1417976953089237,3
Philippe Coutinho,2014-2015,4.376544035039842,5,5.527065984904766,5
James Milner,2014-2015,5.722100425511599,5,4.971144262701273,7
Theo Walcott,2014-2015,5.347009994089603,5,0.40138599276542664,0
Mile Jedinak,2014-2015,3.902254626620561,5,0.99168283585459,3
Connor Wickham,2014-2015,7.663333743810654,5,1.7667257795110345,1
Andy Carroll,2014-2015,3.6932684518396854,5,0.7689819522202015,1
Dame N&#039;Doye,2014-2015,5.468191312626004,5,1.079892586916685,1
Dwight Gayle,2014-2015,5.163298174738884,5,0.766508536413312,1
